     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    657844,        20,         0,4903453.5,bposd,442fb993b83c1c495241476dd311701db140a8c24bcbe91d6942e1e4fc54732d,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.001,""weight"":8}",
      8543,        51,         0,293834.1,bposd,f7823ddf558c98f41216976806db861c0243031080e68a666a193dd4da16f8f2,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.002,""weight"":8}",
       400,        60,         0, 70954.0,bposd,19f897bc051ef4ae31f64c5cec490a8b4b99e82b9a24fffd0afe1a011f865263,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.003,""weight"":8}",
       116,        62,         0, 51523.6,bposd,b135f42518dc44e9bf0a6231ce1df24e56979752e6ee6777334a24b11b038d3a,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.004,""weight"":8}",
        53,        53,         0, 29513.0,bposd,4c32df213760e0c0988edebe79c73568ff5b473821898a5465a944637e01250b,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.009,""weight"":8}",
        52,        52,         0, 23888.9,bposd,907e8e7be5203fb95fda069cc2811d0f46ef67e8fb8db46f08d7ec53ab6ee669,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.007,""weight"":8}",
        52,        52,         0, 18784.8,bposd,d1d7795dd9e23455d3739fbb57c8eda5468caa03ab6d8d93bec00bff04cb5198,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.006,""weight"":8}",
        33,        33,         0, 14017.3,bposd,5852d1bfa4bf0061d7b6cf8cebe8e1984d1399bd5407dffe5f7bd200dabaf87c,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.008,""weight"":8}",
        24,        24,         0, 14021.8,bposd,864fa33747bd671bec08a8fdb6008bfce9a118e3704ec7168943e150a4310402,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.01,""weight"":8}",
    105417,        50,         0,954251.7,bposd,a49f2cf146b5c576485dfd8546b59b40a6788b1802d7aaf9445184aa366125bc,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0015,""weight"":8}",
        61,        57,         0, 28221.4,bposd,8a116bb43613c6ee7cc268e23bda525642dc697e2ff11320e550b6250503270e,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.005,""weight"":8}",
      1963,        52,         0, 77827.5,bposd,cc286e68ae7268ba5f0032818c937b1f7f7fb05f8a884f4ac5502fda7861b759,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0025,""weight"":8}",
       183,        52,         0, 33485.5,bposd,e6f204eff8f3cf54d0c6932acc21199caa395af5892a0ca66f7f82518ff065e7,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0035,""weight"":8}",
        66,        58,         0, 21066.8,bposd,5b578a1c6118babeea6ae8c65b0087eff8eeaac451790a25bfea4e3c4213fafe,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0045,""weight"":8}",
   1720268,        10,         0,14654126.5,bposd,90cecfb295d01abb9f6fd28cc61a2fd4f22da65bd07331a15588bdb0831ca5aa,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0008,""weight"":8}",
       649,        57,         0,171280.1,beam32_340iters,2d4c6e2a6e78dac2889c2059927e67f9f504aa1d3f3f5e0ac720b5cee9e19b1f,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.003,""weight"":8}",
     35054,        51,         0,1311114.0,beam32_340iters,58e808a16ad878f3435d371b600148c64a3b576a5852ade1024a3b053739de39,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.002,""weight"":8}",
         2,         1,         0,   505.5,beam32_340iters,19ed1e5a3765f16973be32b030db99dbf72490ff3712b0d28a8f36f85132c395,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.004,""weight"":8}",
      3068,        54,         0,317924.3,beam32_340iters,92f830e10d779fe87fed3203ccec01d1d0a9b23d34707708ae8079de7e850e07,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0025,""weight"":8}",
       173,        57,         0,104941.9,beam32_340iters,b154b20621629f4e0a022b310d239ff27f16c37e387d2871a0562ad2016bc78e,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0035,""weight"":8}",
    165234,        25,         0,3437901.0,beam32_340iters,6c0477569bb1ea54ceefcd6fb31d269e8436307f0296d006bec080addd5baad9,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0015,""weight"":8}",
   1188189,        19,         0,14052132.5,beam32_340iters,c5ad08ac72c63555bec953608d98eef44eba28a8b060f65cb26e368364615242,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.001,""weight"":8}",
    765892,         0,         0,8103717.9,relay-bp_5,27fcf025262d89903681082eba464e9b6cbb9a9d4303c00568cfad973fe7bc7c,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0015,""weight"":8}",
    611273,         0,         0,4125244.5,relay-bp_5,8d6f4a4014a34697dbd7bc6b9255d463e08c4c05db6ff543699bb1ee806751e8,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.001,""weight"":8}",
    508556,        11,         0,7465093.5,relay-bp_5,85ccab6219891ab459bc09eaa2c507ffaf9b5cc58e70adc2f090927b31e9530e,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.002,""weight"":8}",
     14973,        39,         0,969022.3,relay-bp_5,c2f4f93b560146b6c29544c6e67f5986a51776aaa468df6cb1274b83af0420b4,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.003,""weight"":8}",
     79597,        21,         0,2341659.3,relay-bp_5,2bfd0b14e272c142996359d0d04896af4226aa92a46253869cc3b4a7d3205d77,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0025,""weight"":8}",
      2370,        52,         0,424376.0,relay-bp_5,4b5fa7b8a651ae2ea8f357b83fc10a187cb5101d1483dc501279488530b58d79,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0035,""weight"":8}",
       441,        53,         0,166558.7,relay-bp_5,68b0c80c0e0aa75295c9d934133f117bfe79fb2872c1790792f8fc40e5697702,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.004,""weight"":8}",
        87,        58,         0, 70359.0,relay-bp_5,abc5af52d32f5afd999c75ea25b75c515aacb3e38e2aae2a64d720b613bb9378,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.005,""weight"":8}",
       161,        55,         0,100906.4,relay-bp_5,2d86c7352ac64e8079a09fe21fc97a3f55f22e402269e035340531558b93f860,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0045,""weight"":8}",
         4,         4,         0,  2261.3,relay-bp_5,13646e0cce1134ba194a557b83ecc7ca6720f7717b3e1b18579dbe98c0bf2cda,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.006,""weight"":8}",
         2,         1,         0,  1474.0,relay-bp_5,3f08556c878904815429739c5e8d66d2ec0fd4c957ed2f3bf6716e30d17c47fc,"{""Code Name"":""[128,16,12]_(128,10,1)"",""NumberofCycle"":12,""basis"":""X"",""p"":0.0055,""weight"":8}",
