     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1066,        56,         0,   752.8,bposd,426507f1e1f5b786b8ddb3c48904c577e72d4c76db9e005a6fe34ba85793d9b8,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.003,""weight"":6}",
       343,        54,         0,   477.6,bposd,da049fcf6fa3a4151fe0d47e00eeeda9a58afd117ee8b66f4f8cd4d688fa4233,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.004,""weight"":6}",
       169,        63,         0,   469.4,bposd,5da0b635cdde4251b21387994520bc3ef8787da706daae94166e3352ccab4059,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.005,""weight"":6}",
       119,        60,         0,   375.0,bposd,c66aa7bb5481c8a21f68b6f3dadb7ba53f3dbe7eb04424297bb491c97ccd1307,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.006,""weight"":6}",
        79,        50,         0,   308.1,bposd,5f56e571cf0e86b0c4949afbbe36e22784429f436dfd41a7a7751dd625d044d0,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.007,""weight"":6}",
        59,        52,         0,   290.6,bposd,b8b516df52809791b1a6cc3fedca102e143a910288aba4a0089417f03ab1c47c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.009,""weight"":6}",
        52,        50,         0,   261.0,bposd,9bb36a03021d29432b96b956fe2808030091a556675e2c9e057aff9263296c56,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.01,""weight"":6}",
        60,        50,         0,   272.5,bposd,4e5e891c742a7fff5826aea76aa08d04ea3d59c200c17a564646c22dcde6a02c,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.008,""weight"":6}",
      4150,        56,         0,  1132.2,bposd,d20cd7674e69353ea3cead9fb878409f2ea0387aa6fce12d1dceac333e812077,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.002,""weight"":6}",
     81506,        58,         0,  4358.3,bposd,b8c78cc940b0e45295c4bbd0ba2f2acb81a18705c6d41cf47383e2e1b0ea9237,"{""Code Name"":""[48,8,6]_(384,512,53)"",""NumberofCycle"":6,""basis"":""X"",""p"":0.001,""weight"":6}",
